Rank,Model,Accuracy,Precision,Recall,F1_Weighted,ROC_AUC
1,XGBoost (SMOTE),0.3679,0.3453,0.3679,0.3362,0.5018
2,Decision Tree (SMOTE),0.3495,0.3362,0.3495,0.3355,0.497
3,SVM (SMOTE),0.3336,0.3408,0.3336,0.3351,N/A
4,Logistic Regression (SMOTE),0.3327,0.3398,0.3327,0.3342,0.5027
5,Random Forest (SMOTE),0.3735,0.3479,0.3735,0.3331,0.5073
6,Neural Network (MLP) (SMOTE),0.3311,0.3411,0.3311,0.3313,0.5013
7,Dummy (Baseline) (SMOTE),0.397,0.1576,0.397,0.2256,0.5
